,SSP119_first10_lon,SSP119_last10_lon,SSP245_first10_lon,SSP245_last10_lon,SSP585_first10_lon,SSP585_last10_lon
21,12.692529567227211,13.543606319079004,12.659884677064554,14.612573810942592,12.741237994494952,16.74650464643861
22,14.767950261105113,15.585789082029237,14.772420521024003,16.610444250408875,14.815756543643374,18.640253565510875
23,11.389760099621867,12.30914847430887,11.396676507275117,13.266003566188544,11.408144839047168,15.293131315201379
24,8.393253784898718,9.373953778519137,8.455639996170873,10.276569765664078,8.400138775295147,12.367531093179764
25,6.914894138178113,7.888425123049615,6.974262597434802,8.817162235371882,6.930960818049584,10.951618087111285
26,4.460285440790187,5.513617452975382,4.529067134038996,6.460617470474517,4.471465351122049,8.679857169741638
27,7.413493154811135,8.406444594669438,7.459644170254876,9.404195192553573,7.392325299514596,11.604015061834673
28,9.191560833490314,10.174158756178201,9.21449098608548,11.18040745123318,9.133481483412027,13.40150875957562
29,15.941860740739003,16.811151527689674,15.93333682080737,17.895466217126625,15.853234656058873,19.98526419058959
30,11.288978996029925,12.344684385215885,11.296152930824974,13.508374139598516,11.194775140980482,15.812417323690681
31,11.41129911768536,12.324419249486596,11.359773015236954,13.484168963258753,11.309602152746209,15.738261436520077
32,12.202995083952828,13.110796744691697,12.165430405282507,14.321737106682917,12.121609283495786,14.83
33,6.41464025071798,7.473962864342525,6.394319583938284,8.57510795866824,6.326244974675831,10.900231960390556
34,5.129929974545746,6.196984650857189,5.085157065235819,7.239255422637598,4.990551115410199,9.523642709643923
35,0.7562365661006538,1.8394935681407105,0.6960912610816195,2.8824167336008486,0.6305435187531998,5.152102177379447
36,2.3276155838796626,3.330190017444181,2.299772708192279,4.332832795325203,2.249185134937818,6.2387457332986855
37,10.256860644531798,11.087079404367273,10.152810889544526,12.09656273392386,10.150883163309516,14.149456203503462
38,8.418340789735623,9.308840380216225,8.29335435498922,10.313115097229797,8.2754930903792,12.39227768515002
39,10.915745138936813,11.735373431335177,10.818121742244216,12.83204869274931,10.765506272958817,14.871099057449726
40,12.520239468345324,13.269470000876652,12.436925356786105,14.37595400650747,12.37700113792937,16.34095419915252
41,14.279167781729768,15.039508715446573,14.176008776771539,16.145352799912132,14.135126045785398,18.055573545405764
42,15.324838604016009,16.120634862868542,15.226336664860185,17.177870562979138,15.19092531996057,19.037960533780222
43,14.654858608111226,15.455334924344584,14.57155193665352,16.51389263826087,14.522945486450283,18.391522419395756
44,12.445821080442954,13.288369920121795,12.327965665680267,14.332861585546652,12.30263147775048,16.264598814742783
45,15.540775007666696,16.26457426619828,15.502155335231691,17.361520225122774,15.436232073913857,19.178767738193244
46,16.17904325889282,16.87022367701934,16.15841246966818,18.052394981228474,16.06863574305271,19.872554314965896
47,17.38200261904126,18.039786873181868,17.346396864275732,19.210946583026157,17.272970521906984,20.967274769587732
48,18.793513676979444,19.460645120264758,18.75894495771115,20.539226645554095,18.66065497250719,22.222784079624944
49,19.107268883301458,19.794303428155786,19.036175459709852,20.832755006661102,18.98980967293403,22.460999545679613
50,17.544161584837696,18.25578776917962,17.505626175100474,19.369076414266544,17.45109174358015,21.054638500586464
51,14.990842546952535,15.762364851561301,14.984415580560437,16.908103564346447,14.878102749345715,18.67319411001324
52,16.056932992080988,16.83837744849012,16.095137525827397,17.96251123410815,15.979126791381589,19.73574148952963
53,13.31047658950888,14.0566113915512,13.333375428620457,15.285720657979311,13.305011219542848,17.18454855671871
54,13.400669595618126,14.08244652863084,13.386733675764333,15.3449591180011,13.363079547037785,17.254032913288313
55,13.391993515760987,14.057059194267083,13.419322490333627,15.310559146350442,13.376120425726583,17.17462558371534
56,15.212879040880125,15.809809258824657,15.295145128864817,17.092943142032084,15.171930099186625,18.94386642421017
57,14.171996244762227,15.012074154390234,14.287282397084255,16.075322332948303,14.182849061001036,17.907943072014916
58,16.080399853871143,16.644183732017495,16.061152681044348,17.94296838479835,15.98953602156223,19.755048838477364
59,14.662870893400736,15.289927417423769,14.807176124146451,16.54323123518617,14.717873483861922,18.445655939125118
60,15.533826269906058,16.035935599733307,15.553208859519714,17.301138262010397,15.621734115011634,19.04688706070408
61,16.12423566947092,16.829752625844378,16.28523206402582,17.576747640526037,16.313474851237913,19.06487138496965
62,9.56978860025913,10.251048498306602,9.499067545656544,11.305951030469089,9.539155457226968,16.234868633394
63,8.73841792812749,9.403909570298708,8.672954664053066,10.527574445054086,8.730232291623906,11.960413470455194
64,11.112168342989321,11.754611403104775,11.061581696430551,12.832240211650003,11.091176496483627,14.397529514439498
65,8.364382446952845,9.055239843958532,8.26846318009791,10.23490182824213,8.327834989947348,11.800033852911326
66,14.60840895460808,15.082841965062414,14.528049098004828,16.041198169621907,14.588849202188953,17.51281855772902
67,17.984678160601504,18.44112121747827,17.909317697745678,19.423811592770676,17.948406026021644,20.854331028130446
