,SSP119_first10_noET_lon,SSP119_last10_noET_lon,SSP245_first10_noET_lon,SSP245_last10_noET_lon,SSP585_first10_noET_lon,SSP585_last10_noET_lon
63,9.699131770832082,9.403909570298708,9.629235672591392,11.463619535022872,9.680960079245096,12.872303182028418
64,12.117972182095002,11.754611403104775,12.068509928569824,13.817227425608735,12.088487225881352,15.361925883912022
65,9.282174261950331,9.055239843958532,9.180823361465627,11.153611844370175,9.233215480944637,12.702211128962745
66,15.723929263462935,15.082841965062414,15.636351227036585,17.14614656236398,15.700779584436361,18.585100977286288
67,19.235662476046286,18.44112121747827,19.15100115030674,20.655994129292765,19.193158267762158,22.039862601681364
68,17.320214291043783,16.521153940461375,17.2733274968532,18.878450666961157,17.2754287270904,20.385846502253003
69,14.672470073014608,14.16940126333651,14.611133533910674,16.426087783371997,14.641963663148658,17.951435853990972
70,18.38574446013797,17.629160593989468,18.336865220953996,19.979131256712947,18.329778638439166,21.353389611947534
71,16.072197639385593,15.467488164681754,15.96418270296823,17.684416266090125,15.981540671834523,19.1247894926193
72,15.945453624002312,15.527554578624688,15.868021135372999,17.763931272611615,15.889318651935923,19.204980233971185
73,14.75428295336468,14.458185207002543,14.69478514542277,16.552683463822746,14.766262116931614,17.999966659500274
74,18.407780325772308,17.876092603220627,18.33526349539426,20.214194108355457,18.46015693684444,21.655155125645138
75,18.806680550491762,18.47951135672912,18.772149594629866,20.856807759160745,18.93335149074136,22.126359699139755
76,12.286156218093197,12.292161517383988,12.192643283683651,14.539365663333172,12.486313590570887,15.702030298612158
77,2.9411010083676388,3.5964171258948454,2.812245810694151,5.803486045265117,3.2843900126641756,7.128622482708124
78,13.673903729498932,13.596746646460872,13.687313852597129,16.019484458225065,13.993020685549482,17.287651149703095
79,5.860221943723104,6.120159709191682,5.820827299993084,8.464942035857291,6.210992462053184,9.783668494817448
80,11.176011570607386,11.005994379550657,11.172615008098546,13.425719814709055,11.453730314632026,14.731403068673899
81,15.90324667432219,15.487700434751844,15.957959762784753,17.898002699579024,16.134344384685164,19.1432697138477
82,15.952270353433562,15.372361571327133,15.973018659339118,17.7374864380256,16.09991310007871,20.339366099429242
83,14.411831252400361,13.898977202254002,14.3918336019143,16.272789092124242,14.564797729215968,17.59771350743455
84,13.414974715216317,12.931045967291539,13.408423158155472,15.233066182856078,13.549870366450591,16.549250115495568
85,10.994889359537183,10.582281086819648,10.999366515906274,12.885132084399515,11.123862680434115,14.257999455215554
86,16.67020906972789,15.881772449585071,16.633555496510326,18.25622480449863,16.76458389586645,19.58317960160059
87,14.994669774120382,14.367331457701596,14.991001998439401,16.68579150331061,15.014151238380748,18.01226084553872
88,15.964328438697862,15.265799323419685,15.93631694049401,17.627779409862512,15.984681313337774,18.92830901542345
89,9.630511061260677,9.212132226141875,9.610782156849098,11.430748151443936,9.745192766725154,12.71666304003611
90,0.0,0.0,0.0,0.0,0.0,0.0
91,0.0,0.0,0.0,0.0,0.0,0.0
92,0.0,0.0,0.0,0.0,0.0,0.0
93,0.0,0.0,0.0,0.0,0.0,0.0
94,0.0,0.0,0.0,0.0,0.0,0.0
95,0.0,0.0,0.0,0.0,0.0,0.0
96,0.0,0.0,0.0,0.0,0.0,0.0
97,0.0,0.0,0.0,0.0,0.0,0.0
98,0.0,0.0,0.0,0.0,0.0,0.0
99,0.0,0.0,0.0,0.0,0.0,0.0
100,0.0,0.0,0.0,0.0,0.0,0.0
101,0.0,0.0,0.0,0.0,0.0,0.0
102,0.0,0.0,0.0,0.0,0.0,0.0
103,0.0,0.0,0.0,0.0,0.0,0.0
104,0.0,0.0,0.0,0.0,0.0,0.0
105,0.0,0.0,0.0,0.0,0.0,0.0
106,0.0,0.0,0.0,0.0,0.0,0.0
107,0.0,0.0,0.0,0.0,0.0,0.0
108,0.0,0.0,0.0,0.0,0.0,0.0
109,0.0,0.0,0.0,0.0,0.0,0.0
110,0.0,0.0,0.0,0.0,0.0,0.0
111,0.0,0.0,0.0,0.0,0.0,0.0
112,0.0,0.0,0.0,0.0,0.0,0.0
113,0.0,0.0,0.0,0.0,0.0,0.0
114,0.0,0.0,0.0,0.0,0.0,0.0
115,0.0,0.0,0.0,0.0,0.0,0.0
116,0.0,0.0,0.0,0.0,0.0,0.0
